thr,tp,tn,fp,fn,Sens,Spec,Prec,F1-score,acc
0.4,635,608,83,18,0.9724349157733537,0.8798842257597684,0.8844011142061281,0.9263311451495259,0.9248511904761905
0.41000000000000003,635,611,80,18,0.9724349157733537,0.8842257597684515,0.8881118881118881,0.9283625730994153,0.9270833333333334
0.42000000000000004,635,616,75,18,0.9724349157733537,0.8914616497829233,0.8943661971830986,0.9317681584739546,0.9308035714285714
0.43000000000000005,635,618,73,18,0.9724349157733537,0.894356005788712,0.8968926553672316,0.9331373989713446,0.9322916666666666
0.44000000000000006,633,622,69,20,0.9693721286370597,0.9001447178002895,0.9017094017094017,0.9343173431734317,0.9337797619047619
0.45000000000000007,632,624,67,21,0.9678407350689127,0.9030390738060782,0.9041487839771102,0.9349112426035503,0.9345238095238095
0.4600000000000001,631,629,62,22,0.9663093415007658,0.91027496382055,0.9105339105339105,0.937592867756315,0.9375
0.4700000000000001,631,630,61,22,0.9663093415007658,0.9117221418234442,0.911849710982659,0.9382899628252788,0.9382440476190477
0.4800000000000001,631,636,55,22,0.9663093415007658,0.9204052098408104,0.9198250728862973,0.9424943988050783,0.9427083333333334
0.4900000000000001,631,644,47,22,0.9663093415007658,0.9319826338639653,0.9306784660766961,0.948159278737791,0.9486607142857143
0.5000000000000001,630,645,46,23,0.9647779479326187,0.9334298118668596,0.9319526627218935,0.9480812641083523,0.9486607142857143
0.5100000000000001,627,647,44,26,0.9601837672281777,0.9363241678726484,0.9344262295081968,0.947129909365559,0.9479166666666666
0.5200000000000001,626,650,41,27,0.9586523736600306,0.9406657018813314,0.9385307346326837,0.9484848484848484,0.9494047619047619
0.5300000000000001,626,653,38,27,0.9586523736600306,0.9450072358900145,0.9427710843373494,0.9506454062262718,0.9516369047619048
0.5400000000000001,624,657,34,29,0.9555895865237366,0.9507959479015919,0.9483282674772037,0.9519450800915332,0.953125
0.5500000000000002,623,660,31,30,0.9540581929555896,0.9551374819102749,0.9525993883792049,0.953328232593726,0.9546130952380952
0.5600000000000002,623,661,30,30,0.9540581929555896,0.9565846599131693,0.9540581929555896,0.9540581929555896,0.9553571428571429
0.5700000000000002,622,663,28,31,0.9525267993874426,0.959479015918958,0.9569230769230769,0.9547198772064466,0.9561011904761905
0.5800000000000002,619,663,28,34,0.9479326186830015,0.959479015918958,0.9567233384853169,0.9523076923076923,0.9538690476190477
0.5900000000000002,619,665,26,34,0.9479326186830015,0.9623733719247467,0.9596899224806201,0.9537750385208013,0.9553571428571429
0.6000000000000002,618,666,25,35,0.9464012251148545,0.9638205499276411,0.9611197511664075,0.9537037037037037,0.9553571428571429
0.6100000000000002,616,670,21,37,0.9433384379785605,0.9696092619392185,0.967032967032967,0.9550387596899226,0.9568452380952381
0.6200000000000002,614,670,21,39,0.9402756508422665,0.9696092619392185,0.9669291338582677,0.9534161490683231,0.9553571428571429
0.6300000000000002,614,671,20,39,0.9402756508422665,0.9710564399421129,0.9684542586750788,0.9541569541569541,0.9561011904761905
0.6400000000000002,614,673,18,39,0.9402756508422665,0.9739507959479016,0.9715189873417721,0.9556420233463035,0.9575892857142857
0.6500000000000002,612,676,15,41,0.9372128637059725,0.9782923299565847,0.9760765550239234,0.95625,0.9583333333333334
0.6600000000000003,611,676,15,42,0.9356814701378254,0.9782923299565847,0.9760383386581469,0.9554339327599687,0.9575892857142857
0.6700000000000003,610,677,14,43,0.9341500765696784,0.9797395079594791,0.9775641025641025,0.9553641346906813,0.9575892857142857
0.6800000000000003,610,677,14,43,0.9341500765696784,0.9797395079594791,0.9775641025641025,0.9553641346906813,0.9575892857142857
0.6900000000000003,610,677,14,43,0.9341500765696784,0.9797395079594791,0.9775641025641025,0.9553641346906813,0.9575892857142857
